-872, -5664, 9920, 90, 6077, 32028, -1048, -5504, 10300, -44, 6409, 32031, -1624, -4136, 11092, -957, 6989, 32648, -652, -4160, 12776, -1006, 7667, 32767, 1332, -5108, 13820, -1200, 6203, 32767, 4296, -5160, 15384, -1138, 4984, 31753, 6444, -6192, 14644, -1683, 3298, 29478, 6152, -6108, 14996, -2150, 1685, 26958, 5656, -4820, 12964, -2690, 1367, 25084, 4596, -4668, 13884, -2446, 2343, 23454, 2640, -4248, 14072, -2144, 3476, 22783, 2164, -3604, 14576, -1845, 2972, 22814, 2568, -4452, 14104, -1555, 2677, 22771, 2600, -4860, 11732, -1514, 3213, 22192, 2072, -4868, 10980, -1930, 4068, 21836, 1628, -4852, 14116, -1859, 3005, 21887, 3000, -5188, 14804, -2272, 420, 22156
11920, -1884, 12832, 11901, -2150, -26157, 10716, -2616, 13620, 11720, -2237, -26386, 10864, -4480, 13904, 11749, -2295, -29668, 8660, -4436, 14500, 11734, -1468, -32250, 6408, -3904, 14984, 11338, -1372, -32512, 5080, -3420, 14764, 10487, -2066, -32512, 4488, -2844, 13880, 9951, -1932, -32512, 3024, -2616, 13564, 10117, -1485, -32512, 2920, -2604, 12896, 10212, -1702, -32512, 4016, -3716, 12544, 9705, -2233, -32512, 3448, -4856, 12516, 8975, -2597, -32512, 2684, -5260, 12140, 8226, -2543, -32512, 944, -5160, 13560, 7793, -1882, -32512, -272, -4620, 15216, 8145, -2087, -32512, -1916, -4584, 15708, 9385, -2728, -32512, -3156, -5268, 14132, 10612, -4100, -32512, -4756, -7296, 11436, 10646, -5416, -32512
8256, -7380, 16072, -5191, -1263, 32488, 8960, -7376, 15904, -4989, -1494, 32337, 13240, -8252, 14020, -3997, -2215, 30731, 15280, -8476, 14052, -3029, -1946, 27427, 15716, -7796, 15344, -2045, -1609, 23598, 14576, -6064, 14848, -1255, -1718, 20283, 12516, -4404, 14520, -662, -732, 18011, 10136, -2580, 15136, -242, 952, 16970, 9288, -1496, 16828, 686, 2249, 17015, 10272, -1756, 18160, 1721, 4012, 17108, 11564, -4300, 20512, 3396, 5141, 15278, 14584, -6428, 20012, 6151, 5876, 12133, 15436, -5856, 22196, 8104, 6524, 7593, 15056, -5920, 24324, 10928, 5273, 2844, 13476, -4016, 24308, 13543, 3000, -1400, 11720, -2904, 24180, 14859, -171, -3913, 11188, -2128, 21620, 15299, -3106, -5683
-13748, -5092, 17664, 737, -5446, -24987, -12576, -4872, 16372, 538, -6256, -24569, -10324, -4924, 15392, -889, -8363, -22449, -12024, -1232, 17344, -1955, -11578, -19193, -12468, -572, 17316, 274, -13771, -14839, -9372, -3120, 13124, 1169, -13923, -11822, -7824, -2816, 12184, 1534, -12463, -11124, -5992, -2340, 11236, 2115, -9987, -9948, -4384, -1860, 11824, 2394, -7214, -9129, -3344, -948, 13804, 3032, -5200, -8423, -2996, -1380, 13600, 3233, -4027, -7532, -2276, -1664, 13632, 3214, -2871, -7036, -2196, -2152, 13220, 3309, -1326, -6889, -2608, -1924, 13424, 3306, -1242, -6542, -2848, -1812, 14656, 3391, -1810, -5932, -3620, -1368, 15924, 3874, -3037, -5084, -4376, -748, 16908, 4282, -4502, -3721
-4964, -2056, 13600, 7497, -1638, -31074, -5496, -1976, 13064, 7966, -1841, -30918, -5764, -2644, 10840, 8302, -3122, -28747, -4248, -4268, 11620, 6850, -2493, -27356, -5212, -5076, 13236, 6531, -3705, -27049, -5504, -4432, 13828, 5706, -5578, -26627, -6028, -3280, 15448, 5802, -7631, -26056, -6156, 32, 8620, 7196, -9854, -25232, -6828, -2388, 12228, 7427, -11993, -23092, -5916, -5832, 9724, 5170, -13257, -21496, -4492, -5820, 8252, 1249, -13006, -21733, -4976, -3812, 7928, -1027, -9495, -21748, -6340, -3644, 9568, -1512, -4616, -20876, -8408, -2304, 13076, -1999, -728, -19324, -11652, -804, 16140, -388, -809, -16478, -11864, -408, 16392, 718, -1552, -12229, -9940, -1044, 16164, 2122, -2175, -8371
4536, -8088, 8936, 8750, -10568, 32767, 4900, -8348, 7356, 8265, -9881, 32767, 5236, -7932, 76, 4294, -2604, 32767, 7320, -8352, -1280, -997, 7719, 32767, 5576, -6492, 8372, -1232, 16537, 28943, 1984, -1952, 13812, -895, 19272, 29092, 1468, -3540, 20896, -997, 15469, 31348, 3640, -6720, 22280, -263, 8087, 32371, 5984, -6796, 17724, -653, 2745, 31554, 6424, -6772, 11424, -2583, 3662, 30582, 5620, -7328, 9836, -3384, 6903, 28698, 5520, -8212, 9420, -2896, 10357, 26513, 2928, -6328, 12928, -3298, 11943, 25272, 3636, -7636, 15560, -5252, 11679, 25291, 4272, -6680, 17964, -6391, 9799, 24730, 4896, -5280, 18292, -5101, 8424, 24099, 5904, -5920, 15140, -4204, 6714, 23404
-6228, -6644, 9316, -2804, -4314, -32512, -6984, -6296, 9588, -3043, -3484, -32512, -10412, -5888, 13536, -3076, -917, -30997, -13400, -4072, 18028, -2295, -1431, -26930, -12924, -3888, 18388, -554, -4173, -22381, -10924, -3600, 16332, 916, -5877, -19316, -8232, -4944, 14176, 1831, -6621, -17394, -6688, -6256, 11952, 2584, -6654, -16773, -5460, -7160, 10884, 2665, -5001, -17043, -6972, -6536, 11072, 2182, -2792, -16876, -8576, -5640, 12424, 1723, -629, -15587, -10144, -4708, 15124, 2126, 498, -13729, -10868, -3708, 17764, 3442, -780, -11087, -9544, -3600, 19288, 4693, -4067, -8257, -8684, -3436, 18336, 5607, -7046, -5777, -9016, -2588, 17788, 7004, -7723, -3453, -9172, -1880, 16796, 8765, -7139, -886
3464, -8712, 10160, -5279, 12214, 31910, 3800, -8300, 9132, -5478, 12103, 31490, 3444, -6016, 11428, -6389, 12689, 28792, 1976, -6416, 15112, -5005, 11910, 27953, 4320, -7320, 17624, -5085, 9472, 27387, 6240, -7052, 18008, -5845, 5172, 25966, 8056, -6428, 16072, -5529, 3318, 24260, 8488, -5924, 14768, -4950, 2956, 22362, 8524, -5736, 14572, -4338, 3738, 20360, 7932, -4720, 16828, -3264, 4194, 18422, 7672, -4136, 17868, -2238, 3014, 17449, 8780, -4008, 18140, -1749, 1631, 16199, 9412, -3436, 19304, -721, 257, 14419, 10228, -3208, 18996, 482, -1287, 12402, 10980, -2932, 19460, 1746, -2650, 10126, 11244, -2132, 19992, 3346, -3471, 7947, 11312, -1624, 20924, 5237, -4512, 5731
-3352, -7888, 14632, -420, 418, -32512, -3176, -7576, 14956, 341, 799, -32512, -8788, -5376, 16008, 3238, 1910, -32512, -7332, -6588, 13724, 2027, -319, -31931, -8108, -6056, 14252, 2067, -1048, -30191, -8444, -6228, 14320, 1562, -1193, -27847, -9872, -4460, 16152, 2143, -441, -26152, -12500, -2632, 15324, 3036, -1662, -22436, -12492, -3064, 14912, 3679, -2729, -18530, -11320, -3672, 14008, 3172, -3709, -15076, -9720, -4044, 12552, 2974, -3119, -12960, -9212, -3572, 11140, 3132, -1518, -11137, -8624, -4564, 10480, 2807, 894, -9414, -8380, -3756, 12224, 2662, 2464, -7879, -8812, -3420, 13712, 3045, 3420, -5989, -9308, -3044, 15536, 3641, 3422, -3912, -9880, -2376, 17864, 5028, 2536, -1444
-11072, -1896, 16276, 173, 672, -22155, -10828, -1560, 15776, 229, 147, -21650, -9312, -1416, 14564, 1022, -1624, -18693, -7544, -3408, 13076, 1592, -1876, -16513, -4464, -5888, 11508, 150, -2890, -16298, -3196, -5676, 10312, -2698, -2003, -17428, -5336, -3128, 12152, -2497, 828, -17341, -8052, -1764, 14164, -621, 4200, -16035, -11236, -676, 16048, 185, 4286, -12641, -11156, -232, 16568, 908, 2304, -8843, -8492, -2072, 16212, 1897, 508, -6014, -4616, -4660, 15576, 2686, -539, -5404, -3176, -5160, 15500, 3269, -1456, -5724, -2924, -4764, 16304, 4169, -3495, -5888, -4032, -3972, 16428, 5037, -4673, -6443, -5372, -2708, 15296, 5558, -5634, -5820, -5664, -2564, 14856, 5952, -5255, -4568
