-624, -25024, 23948, 32767, -27894, 12050, -84, -25116, 23304, 32767, -27969, 11709, 2064, -27100, 21720, 32767, -27730, 8461, 3916, -25804, 22164, 32767, -26286, 3710, 2944, -23304, 23000, 32767, -24783, 292, 2136, -21856, 25064, 32767, -24810, -1903, 2628, -20544, 25060, 32767, -24720, -4087, 2696, -19352, 23140, 32767, -24621, -6006, 2868, -18480, 19012, 32767, -23074, -8007, 1912, -16452, 17592, 32767, -20989, -9979, 164, -14620, 19108, 32767, -21017, -11218, -2224, -12104, 19412, 32767, -22548, -11394, -1988, -10768, 18864, 32767, -23803, -10839, -1516, -9432, 16348, 32767, -24755, -11604, -48, -8612, 12476, 32767, -22806, -11647, 256, -9092, 8500, 32695, -21069, -11539, 4092, -8152, 12484, 32767, -16654, -14034
-11364, -12804, 26636, -58, -14427, -153, -11416, -13808, 23800, 898, -15497, 330, -8220, -16584, 9084, 2722, -16536, 3400, -5248, -20168, 704, 1125, -13162, 3770, -3604, -20388, 1760, -243, -9503, 2423, -3496, -17012, 4352, -1018, -8917, 2728, -3260, -14056, 10640, -486, -10517, 3434, -1612, -12360, 14296, 1146, -13439, 4158, -180, -11020, 16304, 3321, -15378, 4269, 924, -11096, 18424, 6808, -16571, 4564, 2864, -10660, 18984, 8427, -16356, 3989, 2088, -10488, 20644, 11584, -16842, 3672, 376, -9704, 20508, 14704, -18461, 4302, -1844, -8896, 20388, 16448, -20691, 6635, -392, -9540, 24120, 18197, -27219, 9655, -4120, -9776, 19988, 24089, -31318, 14647, -2020, -9776, 17320, 29579, -28221, 18328
2516, 1728, -2092, -9568, -94, 8893, 3176, 1648, -2140, -9449, 426, 8368, 4908, 2236, -2152, -7956, 6020, 4330, 4304, 3640, -12, -6526, 10658, -239, 1060, 7440, 11224, -6922, 4149, -1256, 4116, 7048, 1712, -9637, -2905, 1637, 3936, 7848, 1148, -12774, 327, 7514, 4080, 9332, 2712, -15945, 2821, 14777, 5036, 5992, 5488, -18252, 2856, 18498, 6800, 1072, 5624, -20673, 1411, 17987, 8384, 1764, 6604, -23261, 71, 16209, 11192, -92, 11444, -24729, -688, 12156, 14324, -1100, 18000, -18306, -1457, 6222, 10388, 1064, 13764, -8426, 1530, 949, 9884, 2208, -540, -13859, 6515, -4338, 4056, 2112, 8348, -15060, 15505, -7069, -56, 2940, 11040, -17368, 13758, -8593
-824, -18536, 3956, 22385, -12664, 4589, -416, -18348, 4880, 22373, -12199, 4470, 656, -16620, 6768, 22684, -9908, 3813, 240, -16064, 13664, 23529, -11161, 2725, -40, -15272, 15384, 25024, -13033, 2039, -1676, -15188, 18460, 25792, -16067, 2518, -3920, -14960, 15964, 26064, -16758, 3567, -5132, -13000, 15168, 26065, -17468, 5047, -3164, -13576, 15556, 26643, -15317, 6438, -8, -14204, 16772, 27436, -13082, 7054, 1976, -16436, 17056, 27889, -10661, 5716, 9236, -19576, 22940, 28950, -8112, 3848, 6248, -16836, 19340, 31215, -6587, 204, 5288, -16840, 19148, 32767, -4357, -2310, 4072, -17204, 20112, 32767, -3884, -3822, 2648, -17272, 18848, 32767, -4976, -4910, 2352, -16544, 17772, 32767, -5860, -5558
2784, 4088, 7904, -18837, -3332, 989, 2732, 3960, 7832, -18513, -3503, 799, 3144, 4164, 5236, -16781, -1713, 179, 2636, 3136, 3420, -15822, -98, -1282, 1052, 2380, 3272, -16617, 498, -2575, -1864, 2560, 4816, -17544, -1924, -2165, -1348, 1584, 4716, -17940, -2849, -529, 788, 448, -2108, -20699, -3566, 341, -1608, -828, 5536, -23958, 1516, 2374, -1032, -1744, 8048, -23880, 2675, 4418, 748, -3928, 6780, -24803, 3059, 5274, 2064, -5792, 6188, -25537, 5135, 4906, 2216, -7420, 6244, -26676, 6723, 3861, 1364, -8452, 6604, -27944, 7503, 2565, 2680, -10708, 7232, -29388, 7775, 775, 152, -11172, 9080, -30819, 6967, -566, -964, -11256, 11596, -32136, 4797, -181
1632, 2824, 7352, 18377, -3128, -18676, 1540, 3052, 6476, 18745, -2546, -18714, -1820, 4272, 3692, 17701, 561, -17276, -5772, 6372, 1260, 15892, 2993, -14116, -5648, 5476, 544, 14089, 4072, -10403, -3992, 4576, 1516, 12362, 4573, -8401, -3412, 4644, 1232, 12368, 5049, -7006, -3328, 4108, 1476, 12703, 4521, -6571, -3432, 3620, 2788, 13713, 3098, -6607, -4384, 4612, 1884, 14165, 321, -6112, -5064, 5108, 256, 13985, -2413, -5149, -5904, 5612, -1996, 12792, -4202, -3463, -6692, 6596, -2744, 11082, -5668, -1313, -6876, 6936, -3536, 9075, -7048, 1316, -5584, 6456, -4312, 6778, -7960, 3335, -4308, 6020, -5100, 3959, -7936, 4486, -3756, 5804, -4368, 1439, -6943, 5266
10724, -20568, 14936, -32512, 10696, 2658, 10624, -20692, 14000, -32512, 10527, 1700, 7836, -20096, 8532, -32512, 10739, -2633, 1688, -19244, 6384, -32512, 12152, -3994, -3000, -18836, 5040, -32512, 15012, -2785, -2572, -26420, 17704, -32512, 21351, -820, -7888, -19560, 11440, -32512, 24491, 2895, -6776, -23128, 15176, -32512, 22535, 6737, -1320, -27372, 17452, -32512, 15640, 8316, 4812, -28316, 18460, -32512, 7739, 7300, 8500, -29976, 16476, -32512, 842, 4898, 10116, -30220, 15164, -32512, -2252, 1906, 8036, -29092, 16068, -32512, -3349, -1027, 5876, -26216, 15312, -30705, -2385, -2375, 2472, -23812, 18284, -26727, 380, -2665, 3508, -17892, 11912, -19384, -3165, -1727, 752, -19460, 20892, -18343, 2365, -1065
-6940, 8860, 3092, 16164, -51, -8000, -6892, 8964, 3608, 16432, -146, -7279, -4132, 7048, 1968, 16795, -439, -4843, -1844, 5500, 3312, 16834, -2360, -4668, -1104, 5140, 896, 16547, -3901, -5547, -1704, 5476, -1488, 16394, -5294, -6561, -3368, 6060, -3228, 15280, -5529, -6966, -4532, 6896, -4032, 13990, -4668, -6706, -5088, 7812, -4548, 12522, -4388, -5939, -5220, 8580, -3148, 11047, -5509, -4798, -5480, 9492, -3220, 9496, -7336, -3336, -5092, 9976, -3412, 7745, -9140, -1624, -4436, 10216, -4056, 5280, -10770, -81, -3812, 10032, -4660, 3298, -11203, 1012, -3580, 9756, -5304, 1489, -9091, 1938, -3896, 9760, -4444, 716, -6765, 2787, -4576, 10080, -3884, 298, -3812, 3587
8440, -16844, 20760, 32767, -15444, -5486, 8820, -17528, 20660, 32767, -15067, -5783, 9664, -17624, 18160, 32767, -12543, -8634, 9696, -16616, 17664, 32767, -9784, -11289, 8980, -15464, 19340, 32767, -9328, -13046, 8612, -14380, 18960, 32767, -9393, -13213, 9504, -14172, 19864, 32767, -9137, -13376, 9720, -13544, 19892, 32767, -10004, -13985, 9956, -12756, 19900, 32767, -10773, -14274, 10132, -12732, 18048, 32767, -11226, -15257, 9980, -12044, 17776, 32767, -10791, -15180, 11108, -11492, 14884, 32767, -9938, -15426, 12096, -11684, 14816, 32767, -9120, -16591, 12896, -10972, 13956, 32531, -6309, -19055, 11400, -8536, 15524, 31547, -4383, -20071, 11544, -7124, 15208, 29797, -3881, -20407, 11964, -6484, 15552, 26288, -4401, -20602
8696, -4756, 6768, -24405, 12063, 15512, 8888, -5084, 6472, -24677, 12067, 15144, 8856, -7124, 2944, -26881, 14388, 12099, 5504, -8504, 972, -30363, 19827, 9104, 2212, -7868, 3596, -32512, 23437, 8225, -468, -9164, 10664, -32512, 26796, 9212, 320, -9980, 16504, -32512, 26420, 10446, 1476, -12552, 20552, -32512, 23012, 11176, 7140, -15172, 16696, -32512, 19269, 9141, 6300, -15524, 11180, -32512, 18623, 5722, 3808, -16420, 7008, -32512, 17903, 3840, 1308, -19004, 3052, -32512, 20049, 2302, -316, -20176, 5400, -32512, 23287, 1772, -1820, -20784, 12612, -32512, 23068, 2245, 324, -22916, 18388, -32512, 17095, 2954, 2560, -24840, 19752, -32512, 10249, 3356, 3792, -22752, 18252, -32512, 4000, 3522
